tax_id,parent_id,rank,tax_name,root,kingdom,phylum,class,order,family,genus,species
Root,Root,root,Root,Root,,,,,,,
d__Bacteria,Root,kingdom,d__Bacteria,Root,d__Bacteria,,,,,,
p__Actinobacteria,d__Bacteria,phylum,p__Actinobacteria,Root,d__Bacteria,p__Actinobacteria,,,,,
c__Actinobacteria,p__Actinobacteria,class,c__Actinobacteria,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,,,,
o__Actinomycetales,c__Actinobacteria,order,o__Actinomycetales,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,,,
f__Pseudonocardiaceae,o__Actinomycetales,family,f__Pseudonocardiaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Pseudonocardiaceae,,
g__Amycolatopsis,f__Pseudonocardiaceae,genus,g__Amycolatopsis,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Pseudonocardiaceae,g__Amycolatopsis,
s__Amycolatopsis_benzoatilytica,g__Amycolatopsis,species,s__Amycolatopsis_benzoatilytica,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Pseudonocardiaceae,g__Amycolatopsis,s__Amycolatopsis_benzoatilytica
d__Archaea,Root,kingdom,d__Archaea,Root,d__Archaea,,,,,,
p__Crenarchaeota,d__Archaea,phylum,p__Crenarchaeota,Root,d__Archaea,p__Crenarchaeota,,,,,
c__Thermoprotei,p__Crenarchaeota,class,c__Thermoprotei,Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,,,,
o__Sulfolobales,c__Thermoprotei,order,o__Sulfolobales,Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,,,
f__Sulfolobaceae,o__Sulfolobales,family,f__Sulfolobaceae,Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,,
g__Metallosphaera,f__Sulfolobaceae,genus,g__Metallosphaera,Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Metallosphaera,
s__Metallosphaera_yellowstonensis,g__Metallosphaera,species,s__Metallosphaera_yellowstonensis,Root,d__Archaea,p__Crenarchaeota,c__Thermoprotei,o__Sulfolobales,f__Sulfolobaceae,g__Metallosphaera,s__Metallosphaera_yellowstonensis
p__Cyanobacteria,d__Bacteria,phylum,p__Cyanobacteria,Root,d__Bacteria,p__Cyanobacteria,,,,,
c__[Chroococcales],p__Cyanobacteria,class,c__[Chroococcales],Root,d__Bacteria,p__Cyanobacteria,c__[Chroococcales],,,,
o__Chroococcales,c__[Chroococcales],order,o__Chroococcales,Root,d__Bacteria,p__Cyanobacteria,c__[Chroococcales],o__Chroococcales,,,
f__[Synechococcus],o__Chroococcales,family,f__[Synechococcus],Root,d__Bacteria,p__Cyanobacteria,c__[Chroococcales],o__Chroococcales,f__[Synechococcus],,
g__Synechococcus,f__[Synechococcus],genus,g__Synechococcus,Root,d__Bacteria,p__Cyanobacteria,c__[Chroococcales],o__Chroococcales,f__[Synechococcus],g__Synechococcus,
s__Synechococcus_sp._WH_8109,g__Synechococcus,species,s__Synechococcus_sp._WH_8109,Root,d__Bacteria,p__Cyanobacteria,c__[Chroococcales],o__Chroococcales,f__[Synechococcus],g__Synechococcus,s__Synechococcus_sp._WH_8109
p__Proteobacteria,d__Bacteria,phylum,p__Proteobacteria,Root,d__Bacteria,p__Proteobacteria,,,,,
c__Betaproteobacteria,p__Proteobacteria,class,c__Betaproteobacteria,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,,,,
o__Burkholderiales,c__Betaproteobacteria,order,o__Burkholderiales,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,,,
f__Comamonadaceae,o__Burkholderiales,family,f__Comamonadaceae,Root,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,,
