tax_id,parent_id,rank,tax_name,root,kingdom,phylum,class,order,family,genus,species
Root,Root,root,Root,Root,,,,,,,
d__Bacteria,Root,kingdom,d__Bacteria,Root,d__Bacteria,,,,,,
p__Proteobacteria,d__Bacteria,phylum,p__Proteobacteria,Root,d__Bacteria,p__Proteobacteria,,,,,
c__Alphaproteobacteria,p__Proteobacteria,class,c__Alphaproteobacteria,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,,,,
o__Rhizobiales,c__Alphaproteobacteria,order,o__Rhizobiales,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,,,
f__[Rhizobiales_bacterium_YIM_77505],o__Rhizobiales,family,f__[Rhizobiales_bacterium_YIM_77505],Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__[Rhizobiales_bacterium_YIM_77505],,
g__[Rhizobiales_bacterium_YIM_77505],f__[Rhizobiales_bacterium_YIM_77505],genus,g__[Rhizobiales_bacterium_YIM_77505],Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__[Rhizobiales_bacterium_YIM_77505],g__[Rhizobiales_bacterium_YIM_77505],
s__Rhizobiales_bacterium_YIM_77505,g__[Rhizobiales_bacterium_YIM_77505],species,s__Rhizobiales_bacterium_YIM_77505,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__[Rhizobiales_bacterium_YIM_77505],g__[Rhizobiales_bacterium_YIM_77505],s__Rhizobiales_bacterium_YIM_77505
p__Firmicutes,d__Bacteria,phylum,p__Firmicutes,Root,d__Bacteria,p__Firmicutes,,,,,
c__Bacilli,p__Firmicutes,class,c__Bacilli,Root,d__Bacteria,p__Firmicutes,c__Bacilli,,,,
o__Lactobacillales,c__Bacilli,order,o__Lactobacillales,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,,,
f__Leuconostocaceae,o__Lactobacillales,family,f__Leuconostocaceae,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,,
g__Weissella,f__Leuconostocaceae,genus,g__Weissella,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,g__Weissella,
s__Weissella_hellenica,g__Weissella,species,s__Weissella_hellenica,Root,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,g__Weissella,s__Weissella_hellenica
p__Cyanobacteria,d__Bacteria,phylum,p__Cyanobacteria,Root,d__Bacteria,p__Cyanobacteria,,,,,
c__[Chroococcales],p__Cyanobacteria,class,c__[Chroococcales],Root,d__Bacteria,p__Cyanobacteria,c__[Chroococcales],,,,
o__Chroococcales,c__[Chroococcales],order,o__Chroococcales,Root,d__Bacteria,p__Cyanobacteria,c__[Chroococcales],o__Chroococcales,,,
f__[Synechococcus],o__Chroococcales,family,f__[Synechococcus],Root,d__Bacteria,p__Cyanobacteria,c__[Chroococcales],o__Chroococcales,f__[Synechococcus],,
g__Synechococcus,f__[Synechococcus],genus,g__Synechococcus,Root,d__Bacteria,p__Cyanobacteria,c__[Chroococcales],o__Chroococcales,f__[Synechococcus],g__Synechococcus,
s__Synechococcus_sp._NKBG042902,g__Synechococcus,species,s__Synechococcus_sp._NKBG042902,Root,d__Bacteria,p__Cyanobacteria,c__[Chroococcales],o__Chroococcales,f__[Synechococcus],g__Synechococcus,s__Synechococcus_sp._NKBG042902
p__Actinobacteria,d__Bacteria,phylum,p__Actinobacteria,Root,d__Bacteria,p__Actinobacteria,,,,,
c__Actinobacteria,p__Actinobacteria,class,c__Actinobacteria,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,,,,
o__Actinomycetales,c__Actinobacteria,order,o__Actinomycetales,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,,,
f__Nocardiaceae,o__Actinomycetales,family,f__Nocardiaceae,Root,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardiaceae,,
