seqname,tax_id
2510065044,s__Desulfosporosinus_meridiei
2579779157,s__Rhizobiales_bacterium_YIM_77505
2585428030,s__Weissella_hellenica
2585428034,s__Synechococcus_sp._NKBG042902
2568526728,s__Williamsia_sp._D3
2551306169,s__Nocardia_paucivorans
2596583548,s__Novosphingobium_taihuense
2515154138,s__Aureimonas_ureilytica
2551306163,s__Nocardia_exalbida
645058785,s__Zymomonas_mobilis
2551306165,s__Nocardia_carnea
645058783,s__Brucella_pinnipedialis
2574180437,s__Methylocapsa_aurea
2558860404,s__Corynebacterium_sp._KPL1855
2524614702,s__Dorea_sp._AGR2135
2524614700,s__Clostridium_paraputrificum
2558860400,s__Propionibacterium_sp._KPL1847
2524614706,s__Lachnospiraceae_bacterium_NK4A136
2558860402,s__Propionibacterium_sp._KPL1852
2524614704,s__Lachnospiraceae_bacterium_NK4A179
645951804,s__Fusobacterium_gonidiaformans
645951802,s__Selenomonas_sputigena
651053028,s__Haloquadratum_walsbyi
2515154172,s__Thermus_igniterrae
2512047062,s__Megasphaera_sp._UPII_135-E
650716078,s__Pusillimonas_sp._T7-7
2524023244,s__Pontibacillus_halophilus
650716071,s__Parachlamydia_acanthamoebae
2508501044,s__Saccharomonospora_azurea
2504756006,s__Thermodesulfobium_narugense
2504756004,s__Haliscomenobacter_hydrossis
2508501047,s__Beggiatoa_alba
2508501046,s__Azospira_oryzae
643886213,s__Helicobacter_canadensis
2540341039,s__Pseudoalteromonas_sp._BSi20439
2541047516,s__Firmicutes_bacterium_M10-2
2541047515,s__Glaciecola_psychrophila
2522125054,s__Acidobacteriaceae_bacterium_KBS_96
2524614565,s__Streptomyces_sp._TAA204
2541047518,s__[Clostridium]_bifermentans
2524614563,s__Eremococcus_coleocola
RR19_CUCSA,Viridiplantae
2524614560,s__Streptomyces_sp._CNT360
2582581240,s__Muricauda_sp._MAR_2010_75
2563367174,s__Lactobacillus_fabifermentans
2563367175,s__Roseivivax_halodurans
2563367172,s__Anaerotruncus_sp._G3(2012)
2563367173,s__Eubacterium_plexicaudatum
2585427897,s__Prevotella_enoeca
2588253788,s__Hafnia_alvei
2588253789,s__Leclercia_adecarboxylata
2537562046,s__Methylacidiphilum_fumariolicum
2537562047,s__Alcanivorax_pacificus
2513237204,s__Rhodospirillum_photometricum
2563367178,s__Dorea_sp._5-2
648276711,s__Peptoniphilus_sp._oral_taxon_836
2596583644,s__Mucilaginibacter_frigoritolerans
2516653082,s__Fischerella_sp._PCC_9339
2596583647,s__Flavobacterium_anhuiense
640612219,s__Sagittula_stellata
2596583642,s__Gemmobacter_caeni
2596583643,s__Idiomarina_indica
2518645623,s__Actinomadura_flavalba
2236347022,s__gamma_proteobacterium_SCGC_AAA076-F14
2518645621,s__Zymophilus_raffinosivorans
2518645620,s__Selenomonas_bovis
2596583648,s__Nonlabens_sp._Hel_I_56
2596583649,s__Brevundimonas_sp._374
2518645625,s__Alicyclobacillus_pohliae
RT19_ARATH,Viridiplantae
2585427879,s__Lactobacillus_hamsteri
2576861662,s__Pelistega_sp._HM-7
2585427873,s__Lactobacillus_apodemi
2585427876,s__Lactobacillus_fuchuensis
2585427877,s__Lactobacillus_gallinarum
2588253765,s__Candidatus_Phaeomarinobacter_ectocarpi
2600255154,s__haloarchaeon_3A1_DGR
2558860283,s__Mogibacterium_timidum
2551306557,s__Idiomarina_sp._28-8
2510461066,s__Candidatus_Chlorothrix_halophila
2600255156,s__Lachnospiraceae_bacterium_28-4
2523533541,s__Nocardioides_halotolerans
2522572097,s__Limnohabitans_sp._Rim28
2514752000,s__Nitratireductor_aquibiodomus
2548876534,s__Lentibacillus_jeotgali
642791603,s__Geobacillus_sp._G11MC16
642791604,s__Ruminococcus_lactaris
2563367004,s__Mycoplasma_ovipneumoniae
2563367005,s__Natrinema_sp._J7-1
2512047039,s__Pyrobaculum_oguniense
2600255085,s__Candidatus_Bacteroides_timonensis
2600255082,s__Haematobacter_missouriensis
2512047034,s__Polymorphum_gilvum
2524023091,s__Enterorhabdus_mucosicola
644736330,s__Bifidobacterium_animalis
2554235498,s__Haloterrigena_limicola
2554235497,s__Natronorubrum_sulfidifaciens
647533250,s__Luminiphilus_syltensis
2554235495,s__Halococcus_saccharolyticus
651324067,s__Leuconostoc_fallax
2554235493,s__Natronococcus_jeotgali
651324061,s__Lactobacillus_fructivorans
2554235491,s__Halococcus_thailandensis
647533251,s__marine_gamma_proteobacterium_HTCC2148
2510065057,s__Sinorhizobium_meliloti
2531839288,s__Facklamia_hominis
643886148,s__Porphyromonas_endodontalis
2513237276,s__Pseudomonas_psychrotolerans
RR19_BRADI,Viridiplantae
643886141,s__Helicobacter_cinaedi
651324049,s__Lachnospiraceae_bacterium_2_1_58FAA
2513237273,s__Staphylococcus_simiae
643886145,s__Anaerococcus_lactolyticus
646564591,s__Zunongwangia_profunda
2522572168,s__Mycobacterium_phlei
2524614703,s__Lachnospiraceae_bacterium_NK4A144
2545824624,s__Ilumatobacter_coccineus
2554235018,s__Paenibacillus_sp._A9
2522572160,s__Desulfatibacillum_aliphaticivorans
2522572161,s__Ferrimonas_futtsuensis
2522572162,s__Flavobacterium_soli
2551306559,s__Microbacterium_sp._B19
2522572167,s__Mycobacterium_xenopi
637000019,s__Bacillus_clausii
2565956520,s__Desulfovibrio_frigidus
2529293066,s__Xanthomonas_translucens
637000010,s__Aquifex_aeolicus
637000011,s__Aster_yellows_witches'-broom_phytoplasma
641522638,s__Methylobacterium_radiotolerans
2503754019,s__Stanieria_cyanosphaera
RR19_CUSOB,Viridiplantae
641522632,s__Heliobacterium_modesticaldum
2534681913,s__Xanthomonas_fragariae
2506210028,s__Microcoleus_vaginatus
RS152_ARATH,Viridiplantae
641522636,s__Leuconostoc_citreum
641522635,s__Leptothrix_cholodnii
2513237090,s__Mesorhizobium_sp._WSM3224
2600254929,s__Marinospirillum_celere
2576861448,s__Trueperella_pyogenes
2515154026,s__Butyricimonas_synergistica
2576861446,s__Streptococcus_sp._VT_162
2513237099,s__Teredinibacter_turnerae
RR19_DRANE,Viridiplantae
2576861440,s__Chlamydia_avium
649989994,s__Ralstonia_sp._5_7_47FAA
2600255317,s__Modestobacter_sp._DSM_45753
2513237300,s__Anaeroglobus_geminatus
2513237301,s__Peptoniphilus_indolicus
2527291725,s__Deinococcus_murrayi
2527291724,s__Runella_limosa
649989992,s__Pseudonocardia_sp._P1
649989993,s__Pseudoramibacter_alactolyticus
2547132175,s__Bacillus_psychrosaccharolyticus
2576861683,s__Proteus_hauseri
2547132177,s__Bartonella_birtlesii
2576861685,s__Listeria_cornellensis
2524023250,s__Niveispirillum_irakense
2547132172,s__Piscirickettsia_salmonis
2547132173,s__Vibrio_vulnificus
2509601001,s__Ornithobacterium_rhinotracheale
2509601000,s__secondary_endosymbiont_of_Ctenarytaina_eucalypti
2561511140,s__Anabaena_sp._90
2561511141,s__Thiomicrospira_sp._Milos-T2
2517572111,s__Thioalkalivibrio_sp._ALJ10
2510065009,s__Caldisphaera_lagunensis
2510065008,s__Rivularia_sp._PCC_7116
2521172651,s__Vitreoscilla_stercoraria
2509601008,s__Methanomethylovorans_hollandica
2510065005,s__Thermococcus_sp._PK
638154515,s__Pyrococcus_furiosus
2510065003,f__Enterobacteriaceae
2521172654,s__Empedobacter_brevis
2510065001,f__Enterobacteriaceae
2534682138,s__Actinomyces_cardiffensis
638341184,s__Roseovarius_sp._217
642555141,s__Mycoplasma_arthritidis
649989970,s__Lautropia_mirabilis
646311935,s__Halothiobacillus_neapolitanus
2562617102,s__Pseudomonas_sp._M1
649989977,s__Oscillochloris_trichoides
2562617100,s__Peptostreptococcaceae_bacterium_CM2
641522610,s__Candidatus_Desulforudis_audaxviator
2563366510,s__Rhodococcus_sp._UNC23MFCrub1.1
2540341165,s__Propionibacterium_propionicum
2506210005,s__Sulfobacillus_thermosulfidooxidans
2521172649,s__Rheinheimera_perlucida
2599185206,s__Proteiniborus_ethanoligenes
2503113005,s__SAR116_cluster_alpha_proteobacterium_HIMB100
2574180395,s__Lactobacillus_shenzhenensis
2518285527,s__Thioalkalivibrio_sp._AKL11
RR19_COFAR,Viridiplantae
649633044,s__Eubacterium_limosum
649633045,s__Frankia_sp._EuI1c
649633043,s__Ethanoligenens_harbinense
647000257,s__Komagataeibacter_hansenii
2517093009,s__Salisaeta_longa
2517093008,s__Methanocaldococcus_villosus
2576861701,s__Paenibacillus_sp._JCM_10914
2574180179,s__Aquamicrobium_defluvii
2545555834,s__Methylobacterium_sp._WSM2598
2540341183,s__Methanobrevibacter_sp._AbM4
2517093003,s__Porphyromonas_bennonis
2517093002,s__Bacteroides_propionicifaciens
2517093004,s__Kordiimonas_gwangyangensis
2517093006,s__Porphyromonas_macacae
2515154168,s__Peptoclostridium_difficile
RT19_DICCI,Amoebozoa
2585427706,s__Bordetella_trematum
2556921112,s__Cellulomonas_sp._URHE0023
2537561732,s__Novosphingobium_sp._Rr_2-17
2515154162,s__Legionella_shakespearei
2515154161,s__Uliginosibacterium_gangwonense
2515154167,s__Spirosoma_panaciterrae
2505313024,f__Thermoanaerobacteraceae
2588254172,s__Actinotalea_ferrariae
638341074,s__Crocosphaera_watsonii
2524614711,s__Prevotella_sp._AGR2160
2537561938,s__Eggerthia_catenaformis
2502422321,s__Hymenobacter_roseosalivarius
2565956796,s__Mycobacterium_chelonae
2565956795,s__Rhodococcus_hoagii
2571042271,s__Arthrobacter_sp._CAL618
2565956799,s__Gallaecimonas_xiamenensis
2574180086,s__Candidatus_Acidianus_copahuensis
2519899737,s__Moraxella_catarrhalis
2558309034,s__Lachnospiraceae_bacterium_AC2031
2558309036,s__[Clostridium]_viride
2519899733,s__Methanobacterium_formicicum
2558309033,s__Ruminococcaceae_bacterium_AE2021
RR19_LEPTE,Viridiplantae
2504557012,s__Treponema_succinifaciens
2529292503,s__Derxia_gummosa
649990019,s__Succinatimonas_hippei
2534682340,s__Leptospira_weilii
2529292933,s__Slackia_piriformis
2529292932,s__Barnesiella_intestinihominis
2534682345,s__Helicobacter_bizzozeronii
647533202,s__Rhodobacteraceae_bacterium_HTCC2083
2170459028,s__Bankia_setacea_gill_symbiont
