tax_id,parent_id,rank,tax_name,root,kingdom,phylum,class,order,family,genus,species
Root,Root,root,Root,Root,,,,,,,
k__Bacteria,Root,kingdom,k__Bacteria,Root,k__Bacteria,,,,,,
p__Proteobacteria,k__Bacteria,phylum,p__Proteobacteria,Root,k__Bacteria,p__Proteobacteria,,,,,
c__Gammaproteobacteria,p__Proteobacteria,class,c__Gammaproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,
o__Methylococcales,c__Gammaproteobacteria,order,o__Methylococcales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,,,
f__Methylococcaceae,o__Methylococcales,family,f__Methylococcaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,,
o__Pasteurellales,c__Gammaproteobacteria,order,o__Pasteurellales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,,,
f__Pasteurellaceae,o__Pasteurellales,family,f__Pasteurellaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,,
g__Haemophilus,f__Pasteurellaceae,genus,g__Haemophilus,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,
p__Firmicutes,k__Bacteria,phylum,p__Firmicutes,Root,k__Bacteria,p__Firmicutes,,,,,
c__Clostridia,p__Firmicutes,class,c__Clostridia,Root,k__Bacteria,p__Firmicutes,c__Clostridia,,,,
o__Clostridiales,c__Clostridia,order,o__Clostridiales,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,,,
f__Ruminococcaceae,o__Clostridiales,family,f__Ruminococcaceae,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,,
p__Actinobacteria,k__Bacteria,phylum,p__Actinobacteria,Root,k__Bacteria,p__Actinobacteria,,,,,
c__Actinobacteria,p__Actinobacteria,class,c__Actinobacteria,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,,,,
o__Streptomycetales,c__Actinobacteria,order,o__Streptomycetales,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,,,
f__Streptomycetaceae,o__Streptomycetales,family,f__Streptomycetaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,,
