seqname,tax_id
A00004439,f__Methylococcaceae
A00002753n0,g__Haemophilus
A00002753n1,g__Haemophilus
A00001409,f__Ruminococcaceae
A00002751,g__Streptomyces
A00002756,g__Parvimonas
A00002757,g__Enterococcus
A00002755,f__Enterobacteriaceae
A00004431,g__Neisseria
A00001402,g__Erwinia
A00001401,g__Enterococcus
A00001400,g__Enterococcus
A00001406,g__Allobaculum
A00001157,g__Erwinia
A00004436,f__Rhodobacteraceae
A00000930,g__Dickeya
A00000931,g__Dyadobacter
A00000932,g__Edwardsiella
A00000933,g__Eggerthella
A00001087,g__Lactobacillus
A00001085,g__Helicobacter
A00001084,f__Halobacteriaceae
A00001083,g__Geobacillus
A00001082,g__Archaeoglobus
A00004430,c__Deltaproteobacteria
A00002626,g__Streptomyces
A00002624,g__Ruminococcus
A00002997,f__Rhodobacteraceae
A00002990,g__Lewinella
A00002758,f__Planococcaceae
A00002992,o__Rhodospirillales
A00002576,f__Moraxellaceae
A00003570,g__Flavonifractor
A00002574,g__Deinococcus
A00004432,g__Vibrio
A00002572,g__Lactobacillus
A00002573,g__Buchnera
A00002578,g__Allobaculum
A00002579,o__Desulfovibrionales
A00004437,g__Actinobacillus
A00001716,g__Bacteroides
A00001715,f__[Chthoniobacteraceae]
A00001714,g__Bacteroides
A00001713,g__Borrelia
A00001711,o__Gemmatales
A00003978,g__Dorea
A00003975,p__Thermodesulfobacteria
A00003971,g__Bacillus
A00002526,o__Rhizobiales
A00002196,g__Azospirillum
A00002190,g__Spirosoma
A00002193,g__Saccharibacillus
A00002199,g__Mycobacterium
A00003715,f__Cytophagaceae
A00003714,g__Mycobacterium
A00003717,g__Turicibacter
A00003711,g__Desulfosporosinus
A00003712,g__Candidatus_Pelagibacter
A00002373,g__Eubacterium
A00003484,g__Bradyrhizobium
A00002178,g__Enterococcus
A00002179,g__Saprospira
A00003481,g__Amycolatopsis
A00003482,f__Planococcaceae
A00002173,g__Hafnia
A00002171,g__Olivibacter
A00002176,g__Streptomyces
A00002175,g__Oxalobacter
A00003373,g__Photobacterium
A00003372,g__Nitrobacter
A00003803,g__Dasania
A00003802,f__[Halobacillaceae]
A00003377,f__Bacillaceae
A00001022,g__Methanothermobacter
A00003375,f__[Acetivibrionaceae]
A00003806n0,g__Thermotoga
A00003806n1,g__Thermotoga
A00002280,g__Idiomarina
A00002282,g__Streptococcus
A00003378,g__Desulfobacca
A00002286,g__Anaerophaga
A00003629,g__Methylophaga
A00003159,g__Janthinobacterium
A00003158,g__[Erysipelatoeubacterium]
A00003621,g__Streptomyces
A00003152,g__Paraprevotella
A00003151,g__Citromicrobium
A00003150,g__Anaerophaga
A00003157,g__Myroides
A00003627,f__Ectothiorhodospiraceae
A00003626,f__Pseudonocardiaceae
A00003399,g__Marinobacter
A00003392,g__Ruminococcus
A00003395,p__Synergistetes
A00004378n0,g__Anaerococcus
A00004378n1,g__Anaerococcus
A00003025,g__Azospirillum
A00003024,g__Hippea
A00003022,g__Fervidobacterium
A00002998,g__Thermotoga
A00004332,f__Coriobacteriaceae
A00000619,f__Thermotogaceae
A00000618,f__Cenarchaeaceae
A00000614,g__Lactobacillus
A00000617,g__Neisseria
A00000610,g__Dinoroseobacter
A00000613,c__Chloroflexi
A00000612,g__Gluconacetobacter
A00004331,f__Phyllobacteriaceae
A00004440,g__Ureaplasma
A00002991,g__Citrobacter
A00004443,f__Ruminococcaceae
A00004019,g__Actinomyces
A00003571,g__Desulfotomaculum
A00004018,g__Burkholderia
A00003573,p__Synergistetes
A00000053,g__Carboxydothermus
A00000052,o__Chlamydiales
A00000723,g__Leptospira
A00000725,f__Methylacidiphilaceae
A00000056,g__Chlamydia
A00000055,g__Chlamydia
A00000054,g__Caulobacter
A00000729,o__Natranaerobiales
A00000728,g__Mycoplasma
A00000059,g__Chlamydophila
A00000058,g__Chlamydophila
A00004285,f__Cytophagaceae
A00004281,f__Moraxellaceae
A00004114,g__Corynebacterium
A00004115,g__Saccharomonospora
A00000435,g__Shewanella
A00000434,g__Roseobacter
A00000436,g__Shewanella
A00000431,g__Psychromonas
A00000430,g__Polaromonas
A00000432,g__Pyrobaculum
A00000438,o__Solibacterales
A00000129,g__Lactobacillus
A00001362,f__Peptococcaceae
A00003745,g__Providencia
A00001234,g__Paenibacillus
A00000548,g__Clostridium
A00001892n0,g__Capnocytophaga
A00001892n1,g__Capnocytophaga
A00001237,g__Prevotella
A00001230,g__Mycoplasma
A00001895,g__Dysgonomonas
A00001232,g__Nitrosococcus
A00001897,s__nucleatum
A00000541,g__Campylobacter
A00001899,f__Haloplasmataceae
A00000543,g__Campylobacter
A00000542,g__Campylobacter
A00001238,g__Spirochaeta
A00001239,g__Spirochaeta
A00000547,g__Citrobacter
A00000546,f__Methanomicrobiaceae
A00002766,g__Streptococcus
A00002765,f__Bifidobacteriaceae
A00001369,g__Variovorax
A00001418,g__Haemophilus
A00001419,g__Halanaerobium
A00002761,f__Rhodospirillales
A00001414,f__Coriobacteriaceae
A00001415,g__Haemophilus
A00004420,c__Actinobacteria
A00004421,f__Synechococcaceae
A00001412,g__Faecalibacterium
A00001413,g__Fibrobacter
A00000947,f__Halobacteriaceae
A00000946,f__Halobacteriaceae
A00000941,g__Eubacterium
A00000940,g__Eubacterium
A00000943,g__Flavobacterium
A00000949,g__Hirschia
A00001098,g__Methylotenera
A00001099,g__Moraxella
A00001090,g__Leuconostoc
A00001091,g__Listeria
A00001092,g__Meiothermus
A00001093,g__Meiothermus
A00001094,g__Methanocaldococcus
A00001095,g__Methanocaldococcus
