gene	spkg_name	filepath	description
phrog_2	phrog_2	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_2.hmm	terminase large subunit
phrog_5	phrog_5	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_5.hmm	tail completion or Neck1 protein
phrog_6	phrog_6	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_6.hmm	baseplate wedge subunit
phrog_7	phrog_7	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_7.hmm	endolysin
phrog_9	phrog_9	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_9.hmm	terminase large subunit
phrog_10	phrog_10	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_10.hmm	major head protein
phrog_11	phrog_11	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_11.hmm	baseplate spike
phrog_12	phrog_12	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_12.hmm	portal protein
phrog_13	phrog_13	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_13.hmm	Rz-like spanin
phrog_14	phrog_14	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_14.hmm	minor tail protein
phrog_15	phrog_15	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_15.hmm	terminase large subunit
phrog_16	phrog_16	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_16.hmm	DNA helicase
phrog_17	phrog_17	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_17.hmm	DNA polymerase
phrog_18	phrog_18	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_18.hmm	minor tail protein
phrog_19	phrog_19	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_19.hmm	DnaB-like replicative helicase
phrog_20	phrog_20	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_20.hmm	holin
phrog_21	phrog_21	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_21.hmm	portal protein
phrog_22	phrog_22	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_22.hmm	thioredoxin domain
phrog_23	phrog_23	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_23.hmm	tail sheath
phrog_24	phrog_24	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_24.hmm	tail length tape measure protein
phrog_25	phrog_25	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_25.hmm	head closure Hc1
phrog_26	phrog_26	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_26.hmm	tail completion or Neck1 protein
phrog_27	phrog_27	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_27.hmm	tail completion or Neck1 protein
phrog_28	phrog_28	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_28.hmm	tail length tape measure protein
phrog_29	phrog_29	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_29.hmm	major head protein
phrog_30	phrog_30	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_30.hmm	minor tail protein
phrog_31	phrog_31	/mnt/hpccs01/work/microbiome/msingle/rossenzhao/phrogs_v4.1/hmms/phrog_31.hmm	central tail fiber J
