seqname,tax_id
2508501049,s__Metallosphaera_yellowstonensis
2508501048,s__Thiorhodovibrio_sp._970
2585428030,s__Weissella_hellenica
2585428034,s__Synechococcus_sp._NKBG042902
2568526728,s__Williamsia_sp._D3
645058789,s__Yersinia_rohdei
2515154138,s__Aureimonas_ureilytica
645058785,s__Zymomonas_mobilis
645058786,s__Acidovorax_delafieldii
RK14_SACHY,Viridiplantae
2551306166,s__Nocardia_tenerifensis
2551306165,s__Nocardia_carnea
2551306164,s__Streptomyces_sp._AA0539
RK14_NYMAL,Viridiplantae
2574180437,s__Methylocapsa_aurea
2558860404,s__Corynebacterium_sp._KPL1855
2558860406,s__Corynebacterium_sp._KPL1857
2524614700,s__Clostridium_paraputrificum
2558860400,s__Propionibacterium_sp._KPL1847
2524614706,s__Lachnospiraceae_bacterium_NK4A136
2558860402,s__Propionibacterium_sp._KPL1852
2524614704,s__Lachnospiraceae_bacterium_NK4A179
645951804,s__Fusobacterium_gonidiaformans
645951802,s__Selenomonas_sputigena
651053028,s__Haloquadratum_walsbyi
645951808,s__Selenomonas_noxia
2561511083,s__Mycoplasma_felis
650716079,s__Pyrococcus_sp._NA2
650716078,s__Pusillimonas_sp._T7-7
2524023244,s__Pontibacillus_halophilus
650716071,s__Parachlamydia_acanthamoebae
2504756006,s__Thermodesulfobium_narugense
2504756004,s__Haliscomenobacter_hydrossis
2508501046,s__Azospira_oryzae
643886213,s__Helicobacter_canadensis
2540341039,s__Pseudoalteromonas_sp._BSi20439
2588253791,s__Yokenella_regensburgei
2541047516,s__Firmicutes_bacterium_M10-2
2541047515,s__Glaciecola_psychrophila
2524614568,s__Kitasatospora_sp._SolWspMP-SS2h
2561511102,s__Acidiphilium_angustum
2597490371,s__Nannocystis_exedens
2541047518,s__[Clostridium]_bifermentans
2524614563,s__Eremococcus_coleocola
2524614562,s__Halomonas_anticariensis
RK14_BUXMI,Viridiplantae
2524614560,s__Streptomyces_sp._CNT360
2563367174,s__Lactobacillus_fabifermentans
2563367175,s__Roseivivax_halodurans
2563367172,s__Anaerotruncus_sp._G3(2012)
2563367173,s__Eubacterium_plexicaudatum
2585427897,s__Prevotella_enoeca
2585427898,s__Prevotella_falsenii
2588253789,s__Leclercia_adecarboxylata
2537562046,s__Methylacidiphilum_fumariolicum
2537562047,s__Alcanivorax_pacificus
2513237204,s__Rhodospirillum_photometricum
2563367178,s__Dorea_sp._5-2
2551306045,s__Vibrio_genomosp._F6
2596583644,s__Mucilaginibacter_frigoritolerans
648276712,s__Peptostreptococcus_stomatis
2596583643,s__Idiomarina_indica
2236347022,s__gamma_proteobacterium_SCGC_AAA076-F14
2518645621,s__Zymophilus_raffinosivorans
2518645620,s__Selenomonas_bovis
2596583648,s__Nonlabens_sp._Hel_I_56
2518645625,s__Alicyclobacillus_pohliae
2585427879,s__Lactobacillus_hamsteri
2576861662,s__Pelistega_sp._HM-7
2551306162,s__Nocardia_thailandica
2585427876,s__Lactobacillus_fuchuensis
2585427877,s__Lactobacillus_gallinarum
2588253765,s__Candidatus_Phaeomarinobacter_ectocarpi
2600255154,s__haloarchaeon_3A1_DGR
2524023243,s__Ruminococcus_gauvreauii
2579779157,s__Rhizobiales_bacterium_YIM_77505
2596583546,s__Belnapia_rosea
2510461066,s__Candidatus_Chlorothrix_halophila
2522572180,s__Meiothermus_rufus
2522572097,s__Limnohabitans_sp._Rim28
2548876534,s__Lentibacillus_jeotgali
2523533543,s__Aliagarivorans_marinus
642791604,s__Ruminococcus_lactaris
2563367004,s__Mycoplasma_ovipneumoniae
2563367005,s__Natrinema_sp._J7-1
2512047039,s__Pyrobaculum_oguniense
2600255082,s__Haematobacter_missouriensis
2600255083,s__Bacteroides_pyogenes
2512047034,s__Polymorphum_gilvum
2512047035,s__Oceanimonas_sp._GK1
2524023091,s__Enterorhabdus_mucosicola
644736330,s__Bifidobacterium_animalis
2554235498,s__Haloterrigena_limicola
2554235497,s__Natronorubrum_sulfidifaciens
647533250,s__Luminiphilus_syltensis
2554235495,s__Halococcus_saccharolyticus
651324067,s__Leuconostoc_fallax
651324060,s__Lactobacillus_farciminis
651324061,s__Lactobacillus_fructivorans
2554235491,s__Halococcus_thailandensis
2554235490,s__Halorubrum_tebenquichense
2531839288,s__Facklamia_hominis
643886148,s__Porphyromonas_endodontalis
2513237277,s__Alistipes_indistinctus
643886141,s__Helicobacter_cinaedi
643886145,s__Anaerococcus_lactolyticus
646564591,s__Zunongwangia_profunda
2522572168,s__Mycobacterium_phlei
2522572169,s__Chlamydia_psittaci
2545824624,s__Ilumatobacter_coccineus
2554235018,s__Paenibacillus_sp._A9
2522572160,s__Desulfatibacillum_aliphaticivorans
2522572161,s__Ferrimonas_futtsuensis
2551306559,s__Microbacterium_sp._B19
2576861198,s__Rhodococcus_erythropolis
2522572167,s__Mycobacterium_xenopi
2521172721,s__Borrelia_afzelii
637000019,s__Bacillus_clausii
2529293066,s__Xanthomonas_translucens
637000036,s__Borrelia_burgdorferi
637000010,s__Aquifex_aeolicus
637000011,s__Aster_yellows_witches'-broom_phytoplasma
641522638,s__Methylobacterium_radiotolerans
641522639,s__Methylobacterium_sp._4-46
2503754019,s__Stanieria_cyanosphaera
641522632,s__Heliobacterium_modesticaldum
