seqname,tax_id
2517287020,s__Amycolatopsis_benzoatilytica
2508501049,s__Metallosphaera_yellowstonensis
2563366603,s__Synechococcus_sp._WH_8109
651324084,s__Parasutterella_excrementihominis
639633025,s__Gramella_forsetii
2513020051,s__Variovorax_sp._CF313
2585428033,s__Shewanella_xiamenensis
2585428030,s__Weissella_hellenica
RSSA_HYDVD,Metazoa
2585428034,s__Synechococcus_sp._NKBG042902
2568526728,s__Williamsia_sp._D3
2551306169,s__Nocardia_paucivorans
645058789,s__Yersinia_rohdei
2506520020,s__Mucilaginibacter_paludis
2551306163,s__Nocardia_exalbida
645058785,s__Zymomonas_mobilis
645058786,s__Acidovorax_delafieldii
640069319,s__Methylibium_petroleiphilum
2551306166,s__Nocardia_tenerifensis
645058782,s__Parabacteroides_sp._2_1_7
2551306164,s__Streptomyces_sp._AA0539
RR2_PSEAK,Viridiplantae
2540341033,s__Rhodopirellula_sallentina
2558860404,s__Corynebacterium_sp._KPL1855
2524614702,s__Dorea_sp._AGR2135
2558860406,s__Corynebacterium_sp._KPL1857
2524023247,s__Streptomyces_sp._CNQ865
2558860400,s__Propionibacterium_sp._KPL1847
2524614706,s__Lachnospiraceae_bacterium_NK4A136
2558860402,s__Propionibacterium_sp._KPL1852
2524614704,s__Lachnospiraceae_bacterium_NK4A179
645951804,s__Fusobacterium_gonidiaformans
645951802,s__Selenomonas_sputigena
651053028,s__Haloquadratum_walsbyi
2540341037,s__Pseudoalteromonas_sp._BSi20495
2561511083,s__Mycoplasma_felis
2512047062,s__Megasphaera_sp._UPII_135-E
650716079,s__Pyrococcus_sp._NA2
650716078,s__Pusillimonas_sp._T7-7
2524023244,s__Pontibacillus_halophilus
2519899623,s__Enterobacter_sp._Ag1
650716071,s__Parachlamydia_acanthamoebae
2508501044,s__Saccharomonospora_azurea
2504756006,s__Thermodesulfobium_narugense
2504756004,s__Haliscomenobacter_hydrossis
2508501047,s__Beggiatoa_alba
2551306147,s__Alkalibacillus_haloalkaliphilus
2509601011,s__Anaerobaculum_mobile
2508501046,s__Azospira_oryzae
RR2_CUSRE,Viridiplantae
647000312,s__Serratia_odorifera
643886213,s__Helicobacter_canadensis
2597489894,s__Clostridium_senegalense
2540341039,s__Pseudoalteromonas_sp._BSi20439
2588253791,s__Yokenella_regensburgei
2541047516,s__Firmicutes_bacterium_M10-2
2541047515,s__Glaciecola_psychrophila
643886214,s__Acinetobacter_sp._ATCC_27244
2522125054,s__Acidobacteriaceae_bacterium_KBS_96
2524614565,s__Streptomyces_sp._TAA204
2541047518,s__[Clostridium]_bifermentans
2524614563,s__Eremococcus_coleocola
2524614562,s__Halomonas_anticariensis
2524614560,s__Streptomyces_sp._CNT360
2582581241,s__Methylosinus_sp._PW1
2563367177,s__[Clostridium]_sordellii
2563367174,s__Lactobacillus_fabifermentans
2582581242,s__Thermopetrobacter_sp._TC1
2563367172,s__Anaerotruncus_sp._G3(2012)
2563367173,s__Eubacterium_plexicaudatum
2588253786,s__Ewingella_americana
2585427897,s__Prevotella_enoeca
2588253788,s__Hafnia_alvei
2585427899,s__Prevotella_fusca
2537562046,s__Methylacidiphilum_fumariolicum
2537562047,s__Alcanivorax_pacificus
2513237323,s__Prevotella_sp._C561
2563367178,s__Dorea_sp._5-2
2563367179,s__Eubacterium_sp._14-2
2596583644,s__Mucilaginibacter_frigoritolerans
2596583647,s__Flavobacterium_anhuiense
640612219,s__Sagittula_stellata
2596583642,s__Gemmobacter_caeni
2596583643,s__Idiomarina_indica
2518645623,s__Actinomadura_flavalba
2236347022,s__gamma_proteobacterium_SCGC_AAA076-F14
2518645621,s__Zymophilus_raffinosivorans
2518645620,s__Selenomonas_bovis
2596583648,s__Nonlabens_sp._Hel_I_56
2596583649,s__Brevundimonas_sp._374
2518645625,s__Alicyclobacillus_pohliae
2585427879,s__Lactobacillus_hamsteri
2576861662,s__Pelistega_sp._HM-7
2600254955,s__Fructobacillus_pseudoficulneus
2523533545,s__Pseudomonas_vranovensis
2585427873,s__Lactobacillus_apodemi
2588253760,s__Wolbachia_endosymbiont_of_Culex_molestus
2585427876,s__Lactobacillus_fuchuensis
2588253767,s__Hymenobacter_sp._APR13
