seqname,tax_id
GCA_001596155.1,g__Hymenobacter
GCA_900177475.1,s__Azospirillum_lipoferum_A
GCA_001314655.1,g__HLUCCA08
GCA_900106555.1,s__Nitrosomonas_oligotropha
GCA_001880225.1,g__CA97-1460
GCA_900112755.1,s__Sulfitobacter_D_brevis
GCA_002019795.1,g__Bacillus_AO
GCA_000647975.1,s__Actibacterium_mucosum
GCA_001442985.1,s__GBS-DC_sp1
GCA_000719025.1,s__Kineosporia_aurantiaca
GCA_000348725.1,s__Bdellovibrio_A_exovorus
GCA_001406575.1,s__Collinsella_aerofaciens
GCA_000266765.1,s__Xanthomonas_axonopodis
GCA_000499525.1,s__Romboutsia_dakarense
GCA_000500045.1,s__Borrelia_persica
GCA_900095295.1,s__Methanobacterium_C_congolense
GCA_900104745.1,s__Actinopolymorpha_singaporensis
GCA_001620305.1,s__Rhodococcus_fascians
GCA_001567115.1,g__OLB16
GCA_000614325.1,s__Porphyromonas_macacae
GCA_002168195.1,g__UBA7805
GCA_000429325.1,s__Desulfovibrio_N_putealis
GCA_900112775.1,s__Clostridium_AI_populeti
GCA_000332335.1,g__PCC-10802
GCA_000230975.3,s__Hyphomicrobium_denitrificans_A
GCA_900143075.1,s__Cyclobacterium_lianum
GCA_900110685.1,s__Piscibacillus_halophilus
GCA_000013665.1,s__Saccharophagus_degradans
GCA_000020545.1,s__Chlorobium_A_phaeobacteroides
GCA_000014945.1,s__Methanosaeta_thermophila
GCA_900110395.1,g__Reyranella
GCA_000425725.1,s__Halomonas_halocynthiae
GCA_001458115.1,s__Gracilibacillus_massiliensis
GCA_000600335.2,s__Rubellimicrobium_mesophilum
GCA_900156225.1,s__Ectothiorhodosinus_mongolicus
GCA_001808185.1,g__Jeongeupia
GCA_000754265.1,s__Baumannia_cicadellinicola_B
GCA_900176535.1,s__Pedobacter_africanus
GCA_000733725.1,s__Nitratireductor_A_basaltis
GCA_001752395.1,s__Rheinheimera_salexigens
GCA_000317675.1,s__Cyanobacterium_aponinum
GCA_001799145.1,g__2-12-FULL-40-28
GCA_001723765.1,s__Scalindua_rubra
GCA_000174815.1,s__Porphyromonas_endodontalis
GCA_001005265.1,g__Dehalogenimonas
GCA_001375655.1,s__Streptococcus_varani
GCA_001692755.1,s__Ruminiclostridium_thermocellum
GCA_900089945.1,s__Propionivibrio_aalborgensis
GCA_900101385.1,s__Terribacillus_halophilus
GCA_000621585.1,s__Eubacterium_H_cellulosolvens_A
GCA_900100185.1,s__Natribacillus_halophilus
GCA_000226315.1,s__Micavibrio_aeruginosavorus
GCA_000178155.2,s__Ruminococcus_D_albus_C
GCA_000499825.2,s__Methylocystis_rosea
GCA_000253395.1,s__Streptococcus_thermophilus
