tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6
Root,Root,root,Root,Root,,,,,,,
d__Bacteria,Root,rank_0,d__Bacteria,Root,d__Bacteria,,,,,,
p__Bacteroidetes,d__Bacteria,rank_1,p__Bacteroidetes,Root,d__Bacteria,p__Bacteroidetes,,,,,
c__Bacteroidia,p__Bacteroidetes,rank_2,c__Bacteroidia,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,,,,
o__Cytophagales,c__Bacteroidia,rank_3,o__Cytophagales,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,,,
f__Hymenobacteraceae,o__Cytophagales,rank_4,f__Hymenobacteraceae,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,,
g__Hymenobacter,f__Hymenobacteraceae,rank_5,g__Hymenobacter,Root,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter,
p__Proteobacteria,d__Bacteria,rank_1,p__Proteobacteria,Root,d__Bacteria,p__Proteobacteria,,,,,
c__Alphaproteobacteria,p__Proteobacteria,rank_2,c__Alphaproteobacteria,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,,,,
o__Azospirillales,c__Alphaproteobacteria,rank_3,o__Azospirillales,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Azospirillales,,,
f__Azospirillaceae,o__Azospirillales,rank_4,f__Azospirillaceae,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Azospirillales,f__Azospirillaceae,,
g__Azospirillum,f__Azospirillaceae,rank_5,g__Azospirillum,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Azospirillales,f__Azospirillaceae,g__Azospirillum,
s__Azospirillum_lipoferum_A,g__Azospirillum,rank_6,s__Azospirillum_lipoferum_A,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Azospirillales,f__Azospirillaceae,g__Azospirillum,s__Azospirillum_lipoferum_A
o__Rhodobacterales,c__Alphaproteobacteria,rank_3,o__Rhodobacterales,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,,,
f__Rhodobacteraceae,o__Rhodobacterales,rank_4,f__Rhodobacteraceae,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,
g__HLUCCA08,f__Rhodobacteraceae,rank_5,g__HLUCCA08,Root,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__HLUCCA08,
c__Gammaproteobacteria,p__Proteobacteria,rank_2,c__Gammaproteobacteria,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,
o__Betaproteobacteriales,c__Gammaproteobacteria,rank_3,o__Betaproteobacteriales,Root,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,,,
