seqname,tax_id
2517287020,s__Amycolatopsis_benzoatilytica
2556793004,s__Phocaeicola_abscessus
2579779157,s__Rhizobiales_bacterium_YIM_77505
2585428030,s__Weissella_hellenica
2585428034,s__Synechococcus_sp._NKBG042902
2568526728,s__Williamsia_sp._D3
2551306169,s__Nocardia_paucivorans
2596583548,s__Novosphingobium_taihuense
2515154138,s__Aureimonas_ureilytica
645058785,s__Zymomonas_mobilis
2551306161,s__Nocardia_testacea
2551306160,s__Nocardia_pneumoniae
2551306165,s__Nocardia_carnea
2551306164,s__Streptomyces_sp._AA0539
2574180437,s__Methylocapsa_aurea
2558860404,s__Corynebacterium_sp._KPL1855
2524614700,s__Clostridium_paraputrificum
2558860400,s__Propionibacterium_sp._KPL1847
2524614706,s__Lachnospiraceae_bacterium_NK4A136
2529293220,s__Cupriavidus_sp._HMR-1
2524614704,s__Lachnospiraceae_bacterium_NK4A179
RR15_PINTH,Viridiplantae
2548876831,s__Vibrio_cyclitrophicus
645951802,s__Selenomonas_sputigena
651053028,s__Haloquadratum_walsbyi
645951808,s__Selenomonas_noxia
2521172537,s__Klebsiella_sp._BRL6-2
649990016,s__Streptococcus_vestibularis
2512047062,s__Megasphaera_sp._UPII_135-E
650716079,s__Pyrococcus_sp._NA2
650716078,s__Pusillimonas_sp._T7-7
2524023244,s__Pontibacillus_halophilus
2519899623,s__Enterobacter_sp._Ag1
650716074,s__Pseudomonas_brassicacearum
2537562120,s__Rhizobium_lupini
650716071,s__Parachlamydia_acanthamoebae
2508501044,s__Saccharomonospora_azurea
2504756006,s__Thermodesulfobium_narugense
2504756004,s__Haliscomenobacter_hydrossis
2508501047,s__Beggiatoa_alba
643886213,s__Helicobacter_canadensis
2597489894,s__Clostridium_senegalense
2540341039,s__Pseudoalteromonas_sp._BSi20439
2588253791,s__Yokenella_regensburgei
2541047516,s__Firmicutes_bacterium_M10-2
2541047515,s__Glaciecola_psychrophila
2524614568,s__Kitasatospora_sp._SolWspMP-SS2h
2522125054,s__Acidobacteriaceae_bacterium_KBS_96
2524614565,s__Streptomyces_sp._TAA204
2541047518,s__[Clostridium]_bifermentans
2524614563,s__Eremococcus_coleocola
2524614562,s__Halomonas_anticariensis
2563367177,s__[Clostridium]_sordellii
2582581242,s__Thermopetrobacter_sp._TC1
2563367172,s__Anaerotruncus_sp._G3(2012)
2563367173,s__Eubacterium_plexicaudatum
2588253786,s__Ewingella_americana
2585427897,s__Prevotella_enoeca
2588253788,s__Hafnia_alvei
2585427899,s__Prevotella_fusca
2537562046,s__Methylacidiphilum_fumariolicum
2537562047,s__Alcanivorax_pacificus
2513237204,s__Rhodospirillum_photometricum
2563367178,s__Dorea_sp._5-2
2563367179,s__Eubacterium_sp._14-2
