seqname,tax_id
2579779157,s__Rhizobiales_bacterium_YIM_77505
2585428030,s__Weissella_hellenica
2585428034,s__Synechococcus_sp._NKBG042902
2551306169,s__Nocardia_paucivorans
645058785,s__Zymomonas_mobilis
2558860404,s__Corynebacterium_sp._KPL1855
2558860400,s__Propionibacterium_sp._KPL1847
2524614706,s__Lachnospiraceae_bacterium_NK4A136
2529293220,s__Cupriavidus_sp._HMR-1
2524614704,s__Lachnospiraceae_bacterium_NK4A179
645951804,s__Fusobacterium_gonidiaformans
645951802,s__Selenomonas_sputigena
650716078,s__Pusillimonas_sp._T7-7
650716071,s__Parachlamydia_acanthamoebae
2504756006,s__Thermodesulfobium_narugense
2504756004,s__Haliscomenobacter_hydrossis
2508501047,s__Beggiatoa_alba
2508501046,s__Azospira_oryzae
643886213,s__Helicobacter_canadensis
2537561877,s__Bhargavaea_cecembensis
2541047516,s__Firmicutes_bacterium_M10-2
2522125054,s__Acidobacteriaceae_bacterium_KBS_96
2541047518,s__[Clostridium]_bifermentans
2524614563,s__Eremococcus_coleocola
2524614562,s__Halomonas_anticariensis
2582581240,s__Muricauda_sp._MAR_2010_75
2563367174,s__Lactobacillus_fabifermentans
2563367175,s__Roseivivax_halodurans
2563367172,s__Anaerotruncus_sp._G3(2012)
2563367173,s__Eubacterium_plexicaudatum
2585427897,s__Prevotella_enoeca
2588253789,s__Leclercia_adecarboxylata
2537562046,s__Methylacidiphilum_fumariolicum
2537562047,s__Alcanivorax_pacificus
2513237204,s__Rhodospirillum_photometricum
2563367178,s__Dorea_sp._5-2
2551306045,s__Vibrio_genomosp._F6
2596583644,s__Mucilaginibacter_frigoritolerans
648276712,s__Peptostreptococcus_stomatis
2596583642,s__Gemmobacter_caeni
2236347022,s__gamma_proteobacterium_SCGC_AAA076-F14
2518645621,s__Zymophilus_raffinosivorans
2518645620,s__Selenomonas_bovis
2518645625,s__Alicyclobacillus_pohliae
2585427879,s__Lactobacillus_hamsteri
2576861662,s__Pelistega_sp._HM-7
2585427873,s__Lactobacillus_apodemi
2585427877,s__Lactobacillus_gallinarum
2588253765,s__Candidatus_Phaeomarinobacter_ectocarpi
2558860283,s__Mogibacterium_timidum
2600255156,s__Lachnospiraceae_bacterium_28-4
2522572097,s__Limnohabitans_sp._Rim28
642791604,s__Ruminococcus_lactaris
2563367004,s__Mycoplasma_ovipneumoniae
2512047039,s__Pyrobaculum_oguniense
2600255082,s__Haematobacter_missouriensis
2600255083,s__Bacteroides_pyogenes
2512047033,s__Candidatus_Chloracidobacterium_thermophilum
2512047034,s__Polymorphum_gilvum
2524023091,s__Enterorhabdus_mucosicola
2512047037,s__Pseudoxanthomonas_spadix
2548877054,s__Rickettsia_honei
651324067,s__Leuconostoc_fallax
651324060,s__Lactobacillus_farciminis
651324061,s__Lactobacillus_fructivorans
647533251,s__marine_gamma_proteobacterium_HTCC2148
2531839288,s__Facklamia_hominis
643886148,s__Porphyromonas_endodontalis
2513237277,s__Alistipes_indistinctus
643886141,s__Helicobacter_cinaedi
643886145,s__Anaerococcus_lactolyticus
646564591,s__Zunongwangia_profunda
2524614703,s__Lachnospiraceae_bacterium_NK4A144
2545824624,s__Ilumatobacter_coccineus
2522572160,s__Desulfatibacillum_aliphaticivorans
2596583548,s__Novosphingobium_taihuense
2522572167,s__Mycobacterium_xenopi
637000019,s__Bacillus_clausii
2529293066,s__Xanthomonas_translucens
637000036,s__Borrelia_burgdorferi
637000010,s__Aquifex_aeolicus
637000011,s__Aster_yellows_witches'-broom_phytoplasma
RR10_ARATH,Viridiplantae
641522632,s__Heliobacterium_modesticaldum
2534681913,s__Xanthomonas_fragariae
2506210028,s__Microcoleus_vaginatus
641522635,s__Leptothrix_cholodnii
2576861448,s__Trueperella_pyogenes
2576861442,s__Corynebacterium_glycinophilum
2576861440,s__Chlamydia_avium
2576861689,s__Listeria_weihenstephanensis
2513237303,s__Lactobacillus_versmoldensis
2513237300,s__Anaeroglobus_geminatus
2545824539,s__Olleya_sp._VCSM12
2527291725,s__Deinococcus_murrayi
2558860250,s__Alicyclobacillus_acidoterrestris
2513237304,s__Lactobacillus_acidipiscis
649989993,s__Pseudoramibacter_alactolyticus
2547132174,s__Gayadomonas_joobiniege
2576861680,s__Methylibium_sp._T29
2513237308,s__Cardiobacterium_valvarum
2576861685,s__Listeria_cornellensis
2524023250,s__Niveispirillum_irakense
2547132172,s__Piscirickettsia_salmonis
2509601001,s__Ornithobacterium_rhinotracheale
