seqname,tax_id
GCA_001314655.1,g__HLUCCA08
GCA_900112755.1,s__Sulfitobacter_D_brevis
GCA_000647975.1,s__Actibacterium_mucosum
GCA_000022605.2,g__Blattabacterium
GCA_001594015.1,s__Moorella_mulderi
GCA_000467935.1,g__W5053
GCA_900095295.1,s__Methanobacterium_C_congolense
GCA_900104745.1,s__Actinopolymorpha_singaporensis
GCA_900112775.1,s__Clostridium_AI_populeti
GCA_000230975.3,s__Hyphomicrobium_denitrificans_A
GCA_000745575.1,g__Pararhizobium
GCA_000564855.1,s__Actinokineospora_B_spheciospongiae
GCA_002195995.1,s__Inquilinus_limosus
GCA_000174895.1,s__Ruminococcus_flavefaciens_A
GCA_001873185.1,g__CG2-30-36-16
GCA_001005265.1,g__Dehalogenimonas
GCA_000025485.1,s__Allochromatium_vinosum
GCA_000974765.1,s__Sphingomonas_B_changbaiensis
GCA_000702505.1,s__Thermogemmatispora_carboxidivorans
GCA_900079765.1,g__Pseudoflavonifractor
GCA_900172335.1,s__Roseovarius_albus
GCA_001804315.1,g__2-12-FULL-50-11-A
GCA_002197845.1,s__Fimbriiglobus_ruber
GCA_002161755.1,g__Flavonifractor
GCA_900111675.1,s__Paracoccus_homiensis
GCA_001598795.1,s__Delftia_acidovorans
GCA_001468035.1,s__Legionella_tucsonensis
GCA_001639065.2,s__Vibrio_barjaei
GCA_000091665.1,s__Methanocaldococcus_jannaschii
GCA_000415925.1,s__Lactobacillus_G_otakiensis
GCA_900130035.1,s__Wenyingzhuangia_marina
GCA_001604405.1,g__Spiro-10
GCA_000812565.1,g__Flammeovirga
GCA_002218005.1,s__Vibrio_algivorus
GCA_000613825.1,s__Bacteroides_graminisolvens
GCA_002019645.1,s__Bacillus_AX_alkalitelluris
GCA_000069185.1,s__Mycobacterium_abscessus
GCA_900107415.1,s__Jannaschia_faecimaris
GCA_001695395.1,s__Arcobacter_thereius
GCA_900095015.1,s__Weissella_hellenica_A
GCA_900177465.1,s__Paraburkholderia_E_caryophylli
GCA_900167375.1,s__Anaerorhabdus_furcosa
GCA_001592365.1,s__Gordonia_hydrophobica
GCA_002023335.1,s__Elizabethkingia_miricola_A
GCA_000423205.1,s__Jonesia_quinghaiensis
GCA_000419585.1,s__Salisaeta_longa
GCA_900113175.1,s__Planifilum_fulgidum
GCA_002006795.1,g__Wohlfahrtiimonas
GCA_900109825.1,s__Alkalibacterium_putridalgicola
GCA_000471845.1,s__Dorea_scindens_A
GCA_001423845.1,g__Sphingomonas
GCA_002177135.1,s__Natronolimnobius_baerhuensis
GCA_001507555.1,g__Thiomicrospira_B
GCA_000478965.1,g__Anaeroglobus
GCA_000154725.1,s__Kordia_algicida
GCA_000689395.1,s__Phaeomarinobacter_ectocarpi
GCA_000340945.1,s__Nocardiopsis_synnemataformans
GCA_001682295.1,g__Rhodococcus
GCA_900066785.1,g__CAG-81
GCA_001291445.1,s__Mycobacterium_mucogenicum
GCA_000168995.1,g__BACL14
GCA_000187855.1,s__Streptococcus_cristatus
GCA_001517665.1,s__Peptoniphilus_A_timonensis
GCA_000434275.1,g__Agathobacter
GCA_001425005.1,g__Pseudoduganella
GCA_001553405.1,s__28L_sp2
GCA_900109845.1,s__Pasteurella_A_skyensis
GCA_001660005.1,s__Borrelia_hermsii
GCA_001570505.1,s__Mycobacterium_thermoresistibile
GCA_000613245.1,s__Mycobacterium_asiaticum
GCA_001457435.1,s__Actinobaculum_massiliense
GCA_000411375.1,s__Corynebacterium_pyruviciproducens
GCA_000772915.1,s__Streptococcus_phocae
GCA_000743705.1,s__Ruegeria_halocynthiae
GCA_000154745.2,s__Phaeobacter_inhibens
GCA_002115805.1,s__Marivita_geojedonensis
GCA_000423105.1,s__Halalkalibacillus_halophilus
GCA_000755425.1,s__Vibrio_maritimus_A
GCA_000024165.1,s__Accumulibacter_phosphatis
GCA_001436675.1,s__Lactobacillus_G_senmaizukei
GCA_000428985.1,s__Marinobacterium_litorale
GCA_001921205.1,s__Actinophytocola_xanthii
GCA_000013445.1,s__Methanospirillum_hungatei
GCA_001183975.1,s__Bacillus_N_sp1
GCA_900163615.1,s__Brachybacterium_xerosis
GCA_001187875.1,g__Pseudomonas_E
GCA_900115585.1,s__Erythrobacter_A_nanhaisediminis
GCA_000931465.1,g__Pseudomonas_E
GCA_900091615.1,s__Micromonospora_yangpuensis
GCA_000007725.1,s__Buchnera_aphidicola_H
GCA_000353425.1,s__Anoxybacillus_flavithermus_A
GCA_900114225.1,s__Lactobacillus_H_mucosae_A
