seqname,tax_id
GCA_900112755.1,s__Sulfitobacter_D_brevis
GCA_000022605.2,g__Blattabacterium
GCA_000467935.1,g__W5053
GCA_900095295.1,s__Methanobacterium_C_congolense
GCA_900104745.1,s__Actinopolymorpha_singaporensis
GCA_900112775.1,s__Clostridium_AI_populeti
GCA_000230975.3,s__Hyphomicrobium_denitrificans_A
GCA_002195995.1,s__Inquilinus_limosus
GCA_900167605.1,s__Caloramator_B_quimbayensis
GCA_001005265.1,g__Dehalogenimonas
GCA_000337915.1,s__Halorubrum_saccharovorum
GCA_900101385.1,s__Terribacillus_halophilus
GCA_000025485.1,s__Allochromatium_vinosum
GCA_000974765.1,s__Sphingomonas_B_changbaiensis
GCA_000702505.1,s__Thermogemmatispora_carboxidivorans
GCA_900079765.1,g__Pseudoflavonifractor
GCA_900172335.1,s__Roseovarius_albus
GCA_001804315.1,g__2-12-FULL-50-11-A
GCA_002197845.1,s__Fimbriiglobus_ruber
GCA_002161755.1,g__Flavonifractor
GCA_900111675.1,s__Paracoccus_homiensis
GCA_001468035.1,s__Legionella_tucsonensis
GCA_001639065.2,s__Vibrio_barjaei
GCA_900130035.1,s__Wenyingzhuangia_marina
GCA_001604405.1,g__Spiro-10
GCA_000812565.1,g__Flammeovirga
GCA_000613825.1,s__Bacteroides_graminisolvens
RT19_ARATH,Viridiplantae
GCA_002019645.1,s__Bacillus_AX_alkalitelluris
GCA_900107415.1,s__Jannaschia_faecimaris
GCA_001695395.1,s__Arcobacter_thereius
GCA_900095015.1,s__Weissella_hellenica_A
GCA_900167375.1,s__Anaerorhabdus_furcosa
GCA_001598275.1,s__Moraxella_oblonga
GCA_000433475.1,g__CAG-605
GCA_000190635.1,s__Syntrophobotulus_glycolicus
GCA_000419585.1,s__Salisaeta_longa
GCA_900113175.1,s__Planifilum_fulgidum
GCA_002006795.1,g__Wohlfahrtiimonas
GCA_000471845.1,s__Dorea_scindens_A
GCA_001423845.1,g__Sphingomonas
GCA_002177135.1,s__Natronolimnobius_baerhuensis
GCA_001507555.1,g__Thiomicrospira_B
GCA_000478965.1,g__Anaeroglobus
GCA_001311885.1,s__Syntrophomonas_A_palmitatica
GCA_000154725.1,s__Kordia_algicida
GCA_000689395.1,s__Phaeomarinobacter_ectocarpi
GCA_000340945.1,s__Nocardiopsis_synnemataformans
GCA_000168995.1,g__BACL14
GCA_001063195.1,s__Kocuria_A_xyli
GCA_001517665.1,s__Peptoniphilus_A_timonensis
GCA_000327285.1,s__Holdemania_massiliensis
GCA_001553405.1,s__28L_sp2
GCA_900109845.1,s__Pasteurella_A_skyensis
GCA_001660005.1,s__Borrelia_hermsii
GCA_001570505.1,s__Mycobacterium_thermoresistibile
GCA_001457435.1,s__Actinobaculum_massiliense
GCA_000411375.1,s__Corynebacterium_pyruviciproducens
GCA_000498755.1,s__Clostridioides_mangenotii
GCA_000243155.3,s__Desulfitobacterium_dehalogenans
GCA_001880225.1,g__CA97-1460
GCA_002115805.1,s__Marivita_geojedonensis
GCA_000423105.1,s__Halalkalibacillus_halophilus
GCA_000024165.1,s__Accumulibacter_phosphatis
GCA_001436675.1,s__Lactobacillus_G_senmaizukei
GCA_900104225.1,s__Streptococcus_equinus_D
GCA_000428985.1,s__Marinobacterium_litorale
GCA_001465795.2,s__Planococcus_B_rifietoensis
GCA_000753575.1,g__HR2
GCA_001885685.1,s__Pseudomonas_L_hussainii
GCA_000013445.1,s__Methanospirillum_hungatei
RR19_COFAR,Viridiplantae
GCA_900115585.1,s__Erythrobacter_A_nanhaisediminis
GCA_000373665.1,g__Streptomyces_B
GCA_900091615.1,s__Micromonospora_yangpuensis
GCA_000007725.1,s__Buchnera_aphidicola_H
GCA_000353425.1,s__Anoxybacillus_flavithermus_A
GCA_000214375.1,s__Treponema_E_primitia
GCA_000184705.1,s__Thermaerobacter_marianensis
GCA_000518885.1,g__Bacillus_AA
GCA_900102335.1,s__Pseudomonas_E_seleniipraecipitans
GCA_002161355.1,g__Ruminococcus_B
GCA_900112335.1,s__Tropicimonas_isoalkanivorans
GCA_000148995.1,s__Listeria_grayi
GCA_001872285.1,g__CG2-30-68-42
GCA_001640115.1,s__Polaribacter_atrinae
GCA_900110345.1,s__Amphibacillus_marinus
GCA_001428255.1,g__Agromyces
GCA_000971765.1,s__Pantoea_A_carbekii
GCA_001808205.1,g__Morococcus
GCA_900111145.1,s__Fabibacter_pacificus
GCA_002155425.1,s__Porphyrobacter_donghaensis_A
GCA_001310635.1,g__Bacillus_L
GCA_001425525.1,s__Leaf454_sp1
GCA_001717025.1,s__Methanomethylicus_oleusabulum
GCA_000975095.1,s__Demequina_aestuarii
GCA_000621805.1,g__Ruminococcus_D
GCA_002001015.1,g__Polaromonas
GCA_000422785.1,s__Nesiotobacter_exalbescens
GCA_001458775.1,s__Nitrospira_nitrificans
GCA_000280015.1,s__Bartonella_alsatica
GCA_000687835.1,s__Acholeplasma_A_modicum
GCA_001807485.1,g__Corynebacterium
GCA_001767375.1,s__Streptomyces_olivaceus
GCA_900142275.1,s__Anaerobranca_californiensis
GCA_001434335.1,s__Lactobacillus_kalixensis
GCA_001804805.1,g__GWF2-50-93
GCA_900167575.1,s__Okibacterium_fritillariae
GCA_000317145.1,s__Chamaesiphon_minutus
GCA_001813985.1,s__Actinomyces_B_meyeri
GCA_001457795.1,g__Olsenella_A
GCA_000422565.1,s__Desulfovibrio_I_aminophilus
GCA_002174305.1,g__Aeromicrobium
GCA_900167555.1,s__Subdoligranulum_formicile
GCA_002160135.1,g__UBA7182
RR19_CHLVU,Viridiplantae
GCA_002011615.1,g__JdFR-72
GCA_000010585.1,s__Macrococcus_caseolyticus
