seqname,tax_id
GCA_001314655.1,g__HLUCCA08
GCA_000647975.1,s__Actibacterium_mucosum
GCA_000022605.2,g__Blattabacterium
GCA_000467935.1,g__W5053
GCA_900095295.1,s__Methanobacterium_C_congolense
GCA_900104745.1,s__Actinopolymorpha_singaporensis
GCA_000230975.3,s__Hyphomicrobium_denitrificans_A
GCA_001005265.1,g__Dehalogenimonas
GCA_000337915.1,s__Halorubrum_saccharovorum
GCA_900101385.1,s__Terribacillus_halophilus
GCA_000025485.1,s__Allochromatium_vinosum
GCA_000974765.1,s__Sphingomonas_B_changbaiensis
GCA_900079765.1,g__Pseudoflavonifractor
GCA_900172335.1,s__Roseovarius_albus
GCA_001804315.1,g__2-12-FULL-50-11-A
GCA_002197845.1,s__Fimbriiglobus_ruber
GCA_002161755.1,g__Flavonifractor
GCA_000389985.1,g__Nocardioides
RK14_BUXMI,Viridiplantae
GCA_001598795.1,s__Delftia_acidovorans
GCA_000091665.1,s__Methanocaldococcus_jannaschii
GCA_900130035.1,s__Wenyingzhuangia_marina
GCA_001604405.1,g__Spiro-10
GCA_000812565.1,g__Flammeovirga
GCA_002218005.1,s__Vibrio_algivorus
GCA_000613825.1,s__Bacteroides_graminisolvens
GCA_002019645.1,s__Bacillus_AX_alkalitelluris
GCA_900107415.1,s__Jannaschia_faecimaris
GCA_001695395.1,s__Arcobacter_thereius
GCA_900095015.1,s__Weissella_hellenica_A
GCA_900177465.1,s__Paraburkholderia_E_caryophylli
GCA_900167375.1,s__Anaerorhabdus_furcosa
GCA_001592365.1,s__Gordonia_hydrophobica
GCA_000433475.1,g__CAG-605
GCA_000423205.1,s__Jonesia_quinghaiensis
GCA_000419585.1,s__Salisaeta_longa
GCA_900113175.1,s__Planifilum_fulgidum
GCA_000471845.1,s__Dorea_scindens_A
GCA_001423845.1,g__Sphingomonas
GCA_002177135.1,s__Natronolimnobius_baerhuensis
GCA_000478965.1,g__Anaeroglobus
GCA_001311885.1,s__Syntrophomonas_A_palmitatica
GCA_000689395.1,s__Phaeomarinobacter_ectocarpi
GCA_001291445.1,s__Mycobacterium_mucogenicum
GCA_000168995.1,g__BACL14
GCA_001063195.1,s__Kocuria_A_xyli
GCA_001517665.1,s__Peptoniphilus_A_timonensis
GCA_000526575.1,s__Hungatella_aerotolerans
GCA_000327285.1,s__Holdemania_massiliensis
GCA_001553405.1,s__28L_sp2
GCA_900109845.1,s__Pasteurella_A_skyensis
GCA_001660005.1,s__Borrelia_hermsii
GCA_000613245.1,s__Mycobacterium_asiaticum
GCA_001457435.1,s__Actinobaculum_massiliense
GCA_000411375.1,s__Corynebacterium_pyruviciproducens
GCA_000243155.3,s__Desulfitobacterium_dehalogenans
GCA_000423105.1,s__Halalkalibacillus_halophilus
GCA_000024165.1,s__Accumulibacter_phosphatis
GCA_001436675.1,s__Lactobacillus_G_senmaizukei
GCA_000518665.1,s__Microvirga_flocculans
GCA_000428985.1,s__Marinobacterium_litorale
GCA_001921205.1,s__Actinophytocola_xanthii
GCA_002159495.1,g__UBA1382
GCA_000013445.1,s__Methanospirillum_hungatei
GCA_900091615.1,s__Micromonospora_yangpuensis
GCA_000007725.1,s__Buchnera_aphidicola_H
GCA_000353425.1,s__Anoxybacillus_flavithermus_A
GCA_000214375.1,s__Treponema_E_primitia
GCA_000184705.1,s__Thermaerobacter_marianensis
GCA_000518885.1,g__Bacillus_AA
GCA_001704195.1,s__Streptomyces_sampsonii
GCA_002161355.1,g__Ruminococcus_B
GCA_000148995.1,s__Listeria_grayi
GCA_001872285.1,g__CG2-30-68-42
GCA_900110345.1,s__Amphibacillus_marinus
GCA_001428255.1,g__Agromyces
GCA_900114435.1,s__Halomicrobium_zhouii
GCA_900111145.1,s__Fabibacter_pacificus
GCA_001482305.1,g__Leucobacter
GCA_002155425.1,s__Porphyrobacter_donghaensis_A
GCA_001310635.1,g__Bacillus_L
GCA_001717025.1,s__Methanomethylicus_oleusabulum
GCA_000975095.1,s__Demequina_aestuarii
GCA_000621805.1,g__Ruminococcus_D
GCA_000422785.1,s__Nesiotobacter_exalbescens
GCA_000280015.1,s__Bartonella_alsatica
GCA_000687835.1,s__Acholeplasma_A_modicum
GCA_001807485.1,g__Corynebacterium
GCA_900115635.1,g__Oscillibacter
GCA_001434335.1,s__Lactobacillus_kalixensis
GCA_001804805.1,g__GWF2-50-93
GCA_900167575.1,s__Okibacterium_fritillariae
GCA_000317145.1,s__Chamaesiphon_minutus
GCA_001813985.1,s__Actinomyces_B_meyeri
GCA_001457795.1,g__Olsenella_A
GCA_000422565.1,s__Desulfovibrio_I_aminophilus
GCA_002174305.1,g__Aeromicrobium
GCA_900167555.1,s__Subdoligranulum_formicile
GCA_002160135.1,g__UBA7182
GCA_002011615.1,g__JdFR-72
GCA_000010585.1,s__Macrococcus_caseolyticus
GCA_000296405.1,s__Corynebacterium_otitidis
GCA_900102015.1,s__Loktanella_A_pyoseonensis
GCA_900104785.1,g__Psychroserpens
GCA_000525025.1,s__Methylophilus_sp4
GCA_001054325.1,s__Corynebacterium_vitaeruminis_A
GCA_000518285.1,s__Entomoplasma_lucivorax
GCA_000243315.1,s__Metallosphaera_yellowstonensis
GCA_001192835.1,s__Lentimicrobium_saccharophilum
GCA_000019165.1,s__Heliobacterium_modesticaldum
GCA_001712795.1,g__Nostoc_A
GCA_001426525.1,s__Massilia_sp3
GCA_000015805.1,s__Pyrobaculum_calidifontis
GCA_002005445.1,s__Acetobacter_aceti_B
GCA_001899285.1,g__Pseudolabrys
GCA_000389965.1,g__N902-109
GCA_001122605.1,s__Yersinia_aldovae
GCA_000423125.1,s__Haliea_salexigens
GCA_001469965.1,s__Halothiobacillus_sp1
GCA_900102755.1,s__Prauserella_A_marina
GCA_000367765.1,s__Mycoplasma_D_auris
GCA_000188155.3,g__Methylocystis
GCA_002002865.1,g__Brevundimonas
GCA_900101865.1,s__Paracoccus_isoporae
GCA_000336835.1,s__Haloferax_sp1
GCA_000474275.2,s__Bacillus_S_marmarensis
GCA_000265505.1,s__Bernardetia_litoralis
GCA_000178955.2,s__Granulicella_A_mallensis
GCA_001570965.1,s__Janibacter_corallicola
GCA_000972495.1,s__Hymenobacter_terrenus
GCA_000632225.1,g__Sphingomonas
GCA_000016545.1,s__Caldicellulosiruptor_saccharolyticus
GCA_001567255.1,g__OLB9
GCA_000175375.1,s__Corynebacterium_matruchotii
GCA_900116235.1,s__Marininema_halotolerans
GCA_000770925.1,s__Bifidobacterium_ruminantium
GCA_001695645.1,g__MTC7
GCA_000296835.1,s__Lactobacillus_hominis
GCA_001590965.1,s__Novosphingobium_lentum
GCA_001045445.1,g__Chryseobacterium
GCA_000222125.2,g__Pseudomonas_E
GCA_000730385.1,s__Alteromonas_australica
GCA_000801295.1,g__Monju
GCA_001639025.1,s__Corynebacterium_afermentans
RK14_HUPLU,Viridiplantae
GCA_001544195.1,s__Tetragenococcus_solitarius
GCA_001807895.1,s__Stenotrophomonas_sp9
GCA_000438825.1,s__Serratia_plymuthica
GCA_000158475.2,s__Oxalobacter_formigenes
GCA_000520595.1,g__Arthrobacter_D
GCA_002108495.1,s__Neisseria_C_canis
GCA_000719515.1,g__Glycomyces
GCA_001434705.1,s__Lactobacillus_C_nasuensis
GCA_900002265.1,s__Serratia_symbiotica
GCA_000026405.1,s__Leuconostoc_citreum
GCA_000468055.1,s__Treponema_C_lecithinolyticum
GCA_000518565.1,s__Thermoanaerobacter_thermocopriae
GCA_000375365.1,s__Corynebacterium_mastitidis
GCA_000166115.1,s__Desulfovibrio_A_vulgaris
GCA_000477915.1,s__Corynebacterium_accolens
GCA_001625015.2,g__Lewinella
GCA_900112765.1,s__Actinopolyspora_alba
GCA_000430885.1,s__Desulfotomaculum_C_alcoholivorax
GCA_001895085.1,s__Mariprofundus_micogutta
GCA_000332975.1,s__Gordonia_aichiensis
GCA_000519125.1,s__Desulfocurvus_vexinensis
GCA_001612615.1,s__Nocardia_amikacinitolerans
GCA_000220645.1,s__Methanococcus_maripaludis_B
GCA_001637565.1,s__Janibacter_melonis
GCA_900142565.1,s__Chishuiella_changwenlii
GCA_001914405.1,s__Methanohalarchaeum_thermophilum
GCA_001610855.1,s__Gemmata_massiliana
GCA_900066085.1,g__Blautia_A
GCA_001458075.1,g__Idiomarina
GCA_002009475.1,s__Brocadia_caroliniensis
GCA_001464115.1,g__Ga0074140
GCA_000969415.1,s__Devosia_geojensis
GCA_000988235.1,s__Corynebacterium_xerosis
GCA_000438335.1,s__Dialister_A_pneumosintes
GCA_000331575.1,s__Bacillus_B_oryziterrae
GCA_900143645.1,s__Anaerocolumna_xylanovorans
GCA_002160815.1,g__Massiliomicrobiota
